id,player_id,group_id,start,end,current,playing
406,6,47,2011-05-01,2012-03-13,f,t
407,322,47,,2012-01-16,f,t
408,87,47,2010-11-30,2012-01-16,f,t
409,61,47,,2011-10-30,f,t
410,759,47,,,f,t
411,444,47,,,f,t
412,528,47,,,f,t
413,74,7,2011-09-09,2012-10-24,f,f
414,74,4,2011-07-18,2011-09-09,f,t
423,490,65,,2012-07-13,f,t
422,190,65,,2012-07-13,f,t
417,323,39,2012-05-15,2012-08-28,f,t
418,323,64,2011-10-11,2012-05-04,f,f
419,323,38,2011-06-12,2011-06-23,f,f
420,323,39,2011-03-02,2011-06-11,f,t
421,10,19,2010-10-07,2012-08-31,f,t
424,371,65,,2012-07-13,f,t
425,3,65,,2012-07-13,f,t
426,247,65,,2012-07-13,f,t
427,340,65,,2012-07-13,f,t
428,116,65,,2012-07-13,f,t
429,84,65,,2012-07-13,f,t
430,494,65,,,f,t
431,216,65,,,f,t
432,255,65,,,f,t
433,648,65,,,f,t
434,399,65,,,f,f
435,1179,65,,,f,t
436,481,65,,,f,t
437,547,65,,2011-07-01,f,t
438,25,65,,2011-08-17,f,t
439,6,65,2011-03-01,2011-05-01,f,t
440,33,65,,2011-08-30,f,t
441,56,65,,2011-10-07,f,t
442,43,65,,,f,t
443,47,65,,2011-10-08,f,t
444,383,65,,,f,t
445,551,65,,,f,t
446,492,65,,,f,t
447,1734,65,,2012-06-01,f,f
448,468,40,,2012-01-18,f,t
449,244,40,,2012-01-18,f,t
450,343,40,,2011-02-16,f,t
451,335,23,2011-03-12,2011-06-04,f,f
452,391,23,2011-01-09,2011-06-04,f,t
453,345,23,2011-01-09,2011-06-04,f,t
454,284,23,2010-08-07,2011-01-12,f,t
456,89,66,2010-05-21,2010-08-01,f,t
457,152,31,,2010-07-24,f,t
459,89,68,2010-08-08,2010-10-29,f,t
460,200,33,2010-08-27,2012-10-24,f,t
461,303,33,2010-08-27,2012-11-08,f,t
462,155,9,,2010-09-07,f,t
465,103,70,2010-10-01,2011-03-11,f,t
466,139,71,2010-06-18,2010-11-03,f,t
467,139,72,2010-11-03,2011-05-07,f,t
468,140,72,2010-11-12,2011-05-08,f,t
469,140,25,2010-06-30,2010-11-12,f,t
471,89,70,2010-11-23,2010-11-28,f,t
472,89,30,2010-11-28,2011-01-20,f,t
473,149,39,,2010-12-11,f,t
1410,213,64,2013-02-02,2013-08-14,f,t
1393,119,131,2010-12-11,2011-08-13,f,t
476,164,22,2010-03-24,2011-01-04,f,t
477,121,25,2010-07-05,2011-01-04,f,t
478,174,19,2011-01-29,2011-05-01,f,t
479,89,33,2011-01-20,2011-09-21,f,t
480,343,74,2011-02-16,2011-05-10,f,t
481,787,68,,2011-02-24,f,t
482,192,22,2010-10-13,2011-02-28,f,t
483,192,75,2011-02-28,2011-08-18,f,t
484,103,75,2011-03-11,2011-09-06,f,t
485,261,39,,2011-03-25,f,t
987,1004,4,2011-07-18,2012-09-23,f,t
487,787,76,2011-03-31,2011-09-15,f,f
488,184,76,2011-04-10,2011-09-02,f,t
489,777,76,2011-04-16,2011-08-02,f,t
490,26,30,2011-04-03,2011-07-19,f,t
492,139,22,2011-05-07,2012-05-09,f,t
494,386,74,,2011-05-10,f,t
495,172,22,2010-03-24,2011-05-13,f,t
496,665,34,2010-05-21,2011-05-20,f,t
497,295,39,,2011-06-11,f,t
498,295,38,2011-06-11,2012-05-15,f,t
499,282,39,,2011-06-11,f,t
500,282,38,2011-06-11,2012-05-15,f,t
501,243,39,,2011-06-11,f,t
502,266,39,,2011-06-12,f,t
348,995,56,2012-06-01,,f,t
1424,568,64,2013-02-04,2013-12-19,f,t
368,550,60,,2013-12-09,f,t
371,375,60,2011-12-10,2013-02-04,f,t
370,351,60,,2013-08-19,f,t
351,339,57,2012-10-30,,f,f
353,668,57,,2014-05-23,f,t
350,467,56,2010-12-08,,f,t
361,238,58,2012-06-08,,f,t
503,170,77,2011-06-15,2012-02-17,f,t
504,235,77,2011-06-15,2012-02-17,f,t
505,170,39,,2011-06-11,f,t
506,235,39,,2011-06-11,f,t
507,104,16,,2011-06-14,f,t
508,104,34,2011-06-14,2012-11-13,f,f
3457,9061,260,,,t,t
510,223,16,,2011-06-24,f,t
511,181,16,,2011-06-24,f,t
512,343,64,2011-06-25,2012-03-28,f,t
514,345,53,2011-07-27,,f,t
515,174,19,2011-07-09,2011-09-08,f,t
516,223,1,2011-07-11,2012-03-05,f,t
3456,8281,260,,,f,t
363,409,59,,,f,t
620,231,69,,,f,t
464,208,18,2010-09-08,2018-03-30,f,t
517,181,1,2011-07-11,,f,t
518,126,16,,2011-07-20,f,t
519,547,33,2011-07-23,,f,t
520,128,68,,2011-07-26,f,t
521,195,79,2011-07-26,,f,t
3458,9062,260,,,t,t
523,131,31,,2011-07-31,f,t
524,332,80,,2011-07-31,f,t
525,332,75,2011-08-01,2011-11-01,f,t
526,390,81,,2011-08-01,f,t
527,227,68,,2011-08-04,f,t
529,11,81,,2011-08-10,f,t
530,27,34,2010-09-01,2011-08-14,f,t
531,156,34,2010-04-02,2011-08-23,f,t
532,103,26,2011-09-06,2012-06-02,f,t
533,8,7,,2011-09-07,f,t
534,174,34,2011-09-08,2012-07-16,f,t
536,19,3,,2011-09-14,f,t
537,19,16,2011-09-23,2012-12-22,f,t
538,150,21,,2011-09-15,f,t
539,150,22,2011-09-15,2012-07-22,f,t
540,167,76,,2011-09-15,f,t
541,221,76,,2011-09-15,f,t
542,221,37,2011-09-22,2012-05-07,f,t
543,417,38,,2011-09-18,f,t
544,529,38,,2011-09-18,f,t
545,89,38,2011-09-21,2011-12-08,f,t
546,34,81,2011-09-30,2012-05-15,f,t
547,265,38,2011-01-27,2011-10-03,f,t
548,128,64,2011-10-07,2012-12-04,f,t
549,108,21,,2011-10-27,f,t
550,81,81,,2011-10-28,f,t
551,593,55,2011-10-30,2012-01-25,f,t
552,166,3,,2011-10-30,f,t
553,192,78,2011-10-31,2012-03-23,f,t
554,188,78,2011-10-31,2012-03-23,f,t
555,180,34,2010-04-02,2011-11-01,f,t
1392,296,131,2011-01-14,,f,t
557,514,37,2011-11-09,2012-09-05,f,t
558,184,79,2011-11-04,2012-02-27,f,t
559,532,77,2011-07-08,2011-11-05,f,t
560,71,4,2011-07-18,2011-11-05,f,t
561,71,77,2011-11-05,2012-02-17,f,t
562,778,22,2011-07-07,2011-09-16,f,t
563,542,83,2011-11-08,2012-01-27,f,t
564,478,47,2011-11-13,,f,t
565,136,3,,2011-11-17,f,t
566,570,84,2011-11-18,2012-05-05,f,t
567,240,30,2011-08-02,2011-11-23,f,t
568,153,85,,2011-11-23,f,t
569,153,30,2011-11-23,2012-03-02,f,t
570,180,25,2011-11-23,2012-06-15,f,t
571,166,78,2011-11-28,2012-03-13,f,t
572,122,16,,2011-11-28,f,t
573,46,16,,2011-11-28,f,t
574,113,16,,2011-11-28,f,t
575,287,86,2011-01-01,2011-12-01,f,t
576,89,64,2011-12-08,2012-07-30,f,t
578,828,64,2011-12-22,2012-12-04,f,t
579,359,34,2010-04-02,2011-12-30,f,t
580,986,87,2012-01-01,,f,t
581,978,87,2012-01-01,,f,t
582,225,3,,2012-01-04,f,t
583,225,78,2012-01-04,2012-03-23,f,t
584,332,67,2012-01-06,,t,t
585,274,78,,2012-01-10,f,t
586,979,78,,2012-01-11,f,t
587,36,81,,2012-01-13,f,t
588,136,78,2012-01-15,2012-03-23,f,t
589,87,46,2012-01-18,2012-07-22,f,t
590,612,27,2011-12-03,2012-01-16,f,t
591,612,25,2012-01-16,2012-01-18,f,t
592,70,34,2012-01-17,2012-11-12,f,t
593,106,16,,2012-01-18,f,t
594,218,7,,2012-01-18,f,t
595,42,16,,2012-01-18,f,t
596,468,83,2012-01-31,,f,t
597,244,77,2012-01-18,2012-02-17,f,t
598,397,77,2011-06-15,2012-01-18,f,t
599,436,34,2010-08-21,2012-01-18,f,t
600,417,46,2012-01-18,,f,t
601,8,30,2012-01-21,2012-07-02,f,t
602,61,79,2012-01-27,2012-07-14,f,t
603,513,25,2010-06-30,2012-01-28,f,t
604,513,87,2012-01-28,,f,t
605,191,27,2012-01-29,2012-08-01,f,t
606,213,64,2012-01-30,2012-12-21,f,t
607,5,4,2011-07-18,,f,t
608,5,88,,2011-07-18,f,t
609,1000,34,2012-02-19,2012-11-13,f,t
610,79,34,2012-03-19,2012-11-13,f,t
611,693,34,2012-01-12,2012-04-15,f,f
612,599,34,2011-09-18,2012-01-12,f,t
613,1383,34,2011-09-18,2012-01-12,f,f
614,649,34,2011-09-18,2012-01-12,f,t
615,50,34,2010-08-12,2011-02-25,f,t
616,367,34,2010-04-02,2010-10-22,f,t
617,642,34,2010-05-28,2010-09-10,f,t
618,283,34,2010-04-09,2010-09-10,f,t
619,1363,34,2010-04-09,2010-07-25,f,t
621,575,69,,2013-09-12,f,t
622,477,69,,2013-01-09,f,t
3459,8277,260,,,t,t
631,1655,90,,2013-04-19,f,t
632,596,90,,2013-04-22,f,t
633,593,90,2012-09-29,2012-11-18,f,t
634,676,90,,2012-11-10,f,t
635,542,90,,2012-11-10,f,t
636,583,90,,2012-11-10,f,t
637,1041,68,,2013-01-12,f,t
638,513,68,,2013-01-12,f,t
639,287,68,,2013-01-07,f,t
640,308,68,,2013-01-31,f,t
641,1104,68,,2013-01-12,f,t
642,1031,68,,2013-05-03,f,t
643,93,81,,2012-02-01,f,t
644,93,38,2012-02-17,2012-06-19,f,t
645,274,78,2012-02-03,2012-03-08,f,t
646,96,3,2011-03-04,2012-02-08,f,t
647,212,26,2011-07-19,2012-02-18,f,t
648,113,38,2012-02-19,2012-09-05,f,t
649,71,16,2012-02-20,2012-11-23,f,t
650,532,79,2012-02-25,2012-08-14,f,t
3460,4681,260,,,t,t
653,330,91,2012-02-29,2012-07-27,f,t
654,224,33,,2012-03-01,f,t
655,492,3,,2012-03-01,f,t
656,153,91,2012-03-09,2012-12-12,f,t
657,533,83,,2012-03-02,f,t
658,644,5,2012-03-03,,f,t
659,131,5,2012-03-03,2012-07-11,f,t
660,342,21,,2012-03-05,f,t
661,520,21,,2012-03-03,f,t
662,322,19,2012-03-07,2012-12-03,f,t
663,516,83,2012-03-07,2012-05-12,f,t
535,353,82,2011-09-10,2012-04-19,f,t
522,195,7,2012-05-21,2014-07-31,f,t
577,78,45,2011-12-18,2012-09-01,f,t
986,677,6,2012-10-28,2012-11-14,f,t
665,573,91,2012-03-15,2012-05-12,f,t
666,397,20,2012-03-17,,f,t
667,471,25,2012-03-18,2012-06-15,f,t
668,79,11,,2012-03-19,f,t
669,267,91,2012-03-21,2012-10-28,f,t
670,192,54,2012-03-23,,f,t
671,188,54,2012-03-23,2012-06-04,f,t
672,225,54,2012-03-23,,f,t
673,136,54,2012-03-23,,f,t
674,224,33,2012-03-26,2012-08-02,f,t
675,57,38,2012-03-27,2012-12-10,f,t
676,130,66,,2012-03-29,f,t
677,255,92,,,f,t
623,1452,69,,,f,t
624,906,69,,,f,t
625,638,69,,,f,t
678,195,92,,,f,t
679,695,92,,,f,t
680,649,92,,,f,t
681,398,92,,,f,t
682,205,92,,,f,t
683,1758,92,,,f,t
684,1758,42,,2013-01-03,f,t
685,1760,58,,,f,t
686,493,91,2012-04-13,2012-05-20,f,t
687,356,91,2012-04-13,2012-05-20,f,t
688,147,91,2012-04-01,2012-05-12,f,t
689,542,91,2012-04-01,2012-05-12,f,t
690,23,91,2012-04-16,2012-05-12,f,t
691,429,91,2012-04-13,2012-09-13,f,t
692,283,91,2012-07-02,2012-12-12,f,t
693,224,91,2012-08-02,2012-12-12,f,t
694,211,91,2012-04-01,2012-12-12,f,t
695,362,91,2012-07-04,2012-12-12,f,t
696,429,67,,,t,t
697,555,67,,,t,t
3461,8261,260,,,f,t
699,342,67,,,f,t
701,367,67,,,f,t
