NICKNAME,NAME,BIRTHDATE,MC_NUMBER,TLPD_ID,TLPD_DB,LIQUIPEDIA_PAGE,SC2E_ID,COUNTRY,RACE,PP_SCORE,FOREIGN_KEY1,FOREIGN_KEY2,FOREIGN_KEY3,ROMANIZED_NAME
121,DeMusliM,Benjamin Baker,1990-01-24,1,1589,2,DeMusliM,39,UK,T,-0.963812721073801,218,219,6694540,
50,LucifroN,Pedro Moreno Durán,1991-10-31,1,1603,2,LucifroN,293,ES,T,-1.12846018642107,219,220,6694469,
217,LoveCD,李俊峰,\N,1,2766,3,LoveCD,324,CN,P,-0.591031686192975,99,100,6694635,Li Junfeng
5011,Guilty,이우재,1996-06-30,1,\N,0,,\N,KR,T,-1.18323102930943,127,128,6698851,Lee Woo Jae
287,Naugrim,Mattias Ottosson,1990-05-27,1,1262,2,Naugrim,526,SE,Z,-1.04574819983842,131,132,6694702,\N
604,ChewbroCColi,Michael Raundall,\N,1,1987,2,\N,\N,DK,T,-0.56190141821487,35,36,6695005,\N
2046,Blaze,한재운,1995-05-03,1,\N,0,Panic,\N,KR,P,-0.716627631422262,89,90,6696268,Han Jae Woon
258,HeRoMaRinE,Gabriel Segat,1997-07-04,1,3374,6,HeRoMaRinE,465,DE,T,-0.872389438291255,37,38,6694675,
1748,Nette,이욱담,\N,1,4829,3,,\N,KR,T,-1.05971190643521,97,98,6696005,Lee Wook Dam
828,flo,Florence Chee-Yun Yao,\N,1,3571,2,,372,US,T,-1.1804155318381,85,86,6695208,\N
389,daisuki,Peter Yoo,\N,1,2992,2,\N,472,US,Z,-0.867531374277949,70,71,6694801,\N
261,qxc,Kevin Riley,1989-10-11,1,1596,3,qxc,73,US,T,-1.14400558111695,240,241,6694678,
2,Creator,장현우,1997-02-23,1,2838,3,Creator,174,KR,P,0.00763015642656672,69,71,6694421,Jang Hyun Woo
159,Seiplo,John Seipel,\N,1,1810,2,Seiplo,254,SE,P,-1.08012413671635,148,149,6694578,\N
72,Bly,Олександр Свісюк,1989-01-22,1,2013,2,Bly,396,UA,Z,-0.676041957873554,126,127,6694491,Aleksandr Svusyuk
